"","Auto","Economia","Servicio","Valor","Precio","Disenho","Deportivo","Seguridad","Facilidad_de_Manejo"
"1","A100",3.9,2.8,2.2,4.2,3,3.1,2.4,2.8
"2","BMW3",4.8,1.6,1.9,5,2,2.5,1.6,2.8
"3","CiAX",3,3.8,3.8,2.7,4,4.4,4,2.6
"4","Ferr",5.3,2.9,2.2,5.9,1.7,1.1,3.3,4.3
"5","FiUn",2.1,3.9,4,2.6,4.5,4.4,4.4,2.2
"6","FoFi",2.3,3.1,3.4,2.6,3.2,3.3,3.6,2.8
"7","Hyun",2.5,3.4,3.2,2.2,3.3,3.3,3.3,2.4
"8","Jagu",4.6,2.4,1.6,5.5,1.3,1.6,2.8,3.6
"9","Lada",3.2,3.9,4.3,2,4.3,4.5,4.7,2.9
"10","Mazd",2.6,3.3,3.7,2.8,3.7,3,3.7,3.1
"11","M200",4.1,1.7,1.8,4.6,2.4,3.2,1.4,2.4
"12","Mits",3.2,2.9,3.2,3.5,3.1,3.1,2.9,2.6
"13","NiSu",2.6,3.3,3.9,2.1,3.5,3.9,3.8,2.4
"14","OpCo",2.2,2.4,3,2.6,3.2,4,2.9,2.4
"15","OpVe",3.1,2.6,2.3,3.6,2.8,2.9,2.4,2.4
"16","P306",2.9,3.5,3.6,2.8,3.2,3.8,3.2,2.6
"17","Re19",2.7,3.3,3.4,3,3.1,3.4,3,2.7
"18","Rove",3.9,2.8,2.6,4,2.6,3,3.2,3
"19","ToCo",2.5,2.9,3.4,3,3.2,3.1,3.2,2.8
"20","Trab",3.6,4.7,5.5,1.5,4.1,5.8,5.9,3.1
"21","VWGo",3.8,2.3,1.9,4.2,3.1,3.6,1.6,2.4
"22","VWPa",3.1,2.2,2.1,3.2,3.5,3.5,2.8,1.8
"23","Wart",3.7,4.7,5.5,1.7,4.8,5.2,5.5,4
