"dias","cases"
1,1
2,2
3,1
4,1
5,5
6,3
7,4
8,6
9,10
10,10
11,18
12,14
13,81
14,45
15,37
16,104
17,92
18,103
19,95
20,114
21,176
22,220
23,164
24,304
25,299
26,230
27,310
28,289
29,293
30,373
31,333
32,424
33,310
34,344
35,301
36,430
37,426
38,529
39,426
40,286
41,312
42,392
43,356
44,534
45,445
46,478
47,358
48,419
49,325
50,464
51,516
52,494
53,552
54,473
55,482
56,552
57,520
58,1138
59,985
60,1427
61,1228
62,980
63,1373
64,1032
65,1533
66,1391
67,1247
68,1647
69,1197
70,1658
71,2660
72,2659
73,2502
74,1886
75,2353
