"","sex","height","weight","handedness","exercise","smoke"
"1","Female",68,158,"Right","Some","Never"
"2","Male",70,256,"Left","None","Regul"
"3","Male",70.4150943396226,204,"Right","None","Occas"
"4","Male",63,187,"Right","None","Never"
"5","Male",65,168,"Right","Some","Never"
"6","Female",68,172,"Right","Some","Never"
"7","Male",72,160,"Right","Freq","Never"
"8","Female",62,116,"Right","Freq","Never"
"9","Male",69,262,"Right","Some","Never"
"10","Male",66,189,"Right","Some","Never"
"11","Female",62,145,"Right","Freq","Never"
"12","Male",70.4150943396226,210,"Right","Freq","Never"
"13","Female",61,169,"Right","Some","Never"
"14","Female",61,142,"Right","Some","Never"
"15","Male",70.4150943396226,152,"Right","Some","Never"
"16","Female",61,144,"Right","Freq","Never"
"17","Female",62,130,"Right","Freq","Never"
"18","Male",72,179,"Left","Some","Never"
"19","Male",75,226,"Right","Some","Never"
"20","Male",70,193,"Right","Freq","Never"
"21","Male",75,182,"Right","Freq","Never"
"22","Male",71,149,"Right","Freq","Never"
"23","Male",71,180,"Right","Freq","Never"
"24","Male",72,204,"Right","Some","Never"
"25","Female",65.2745098039216,132,"Right","Some","Never"
"26","Male",70.4150943396226,242,"Right","Some","Never"
"27","Male",68,208,"Right","Some","Never"
"28","Male",69,171,"Right","Freq","Never"
"29","Male",70.4150943396226,137,"Right","Freq","Never"
"30","Male",66,215,"Right","Some","Never"
"31","Female",65.2745098039216,152,"Right","None","Occas"
"32","Male",71,211,"Right","Freq","Never"
"33","Female",66,136,"Right","Freq","Heavy"
"34","Male",71,232,"Right","Some","Never"
"35","Male",70.4150943396226,260,"Right","Some","Regul"
"36","Male",75,179,"Right","Freq","Occas"
"37","Female",66,172,"Right","Some","Never"
"38","Male",72,218,"Right","Freq","Never"
"39","Male",73,213,"Right","Some","Never"
"40","Male",67,191,"Right","Freq","Occas"
"41","Female",66,137,"Right","Some","Never"
"42","Female",61,161,"Right","Some","Never"
"43","Male",68,189,"Right","Some","Never"
"44","Female",70,138,"Right","Some","Never"
"46","Male",71,228,"Right","Freq","Never"
"47","Male",71,215,"Right","Freq","Regul"
"48","Male",67,148,"Right","None","Never"
"49","Female",66,162,"Right","Some","Occas"
"50","Female",65,183,"Right","None","Never"
"51","Male",79,173,"Left","Freq","Never"
"52","Male",75,224,"Right","Freq","Never"
"53","Male",67,204,"Right","Some","Never"
"54","Male",70,195,"Right","Freq","Never"
"55","Male",72,181,"Right","Freq","Regul"
"56","Male",67,157,"Right","Freq","Never"
"57","Female",62,197,"Right","None","Never"
"58","Male",70.4150943396226,195,"Right","Freq","Never"
"59","Male",70,194,"Right","Freq","Never"
"60","Male",69,186,"Left","Freq","Occas"
"61","Male",74,167,"Right","Freq","Never"
"62","Female",66,141,"Right","Freq","Never"
"63","Female",70,122,"Right","Freq","Never"
"64","Female",67,169,"Left","None","Never"
"65","Female",65,185,"Right","Freq","Never"
"66","Male",72,197,"Right","Freq","Never"
"67","Female",68,152,"Right","Freq","Never"
"68","Female",65.2745098039216,175,"Right","Freq","Never"
"69","Male",71,183,"Right","Some","Never"
"71","Female",67,102,"Right","Freq","Never"
"72","Male",69,197,"Right","Freq","Heavy"
"73","Female",67,159,"Right","Some","Never"
"74","Female",66,141,"Right","Freq","Never"
"75","Female",65,157,"Right","Some","Never"
"76","Female",67,176,"Right","Freq","Heavy"
"77","Female",65,172,"Right","Some","Never"
"78","Female",65,151,"Right","Freq","Heavy"
"79","Female",65,155,"Right","Some","Never"
"80","Male",73,174,"Right","Freq","Never"
"81","Male",70.4150943396226,189,"Left","Some","Never"
"82","Male",70,168,"Right","Freq","Never"
"83","Female",65.2745098039216,105,"Right","Freq","Never"
"84","Female",65.2745098039216,156,"Right","Some","Never"
"85","Male",66,213,"Right","Freq","Never"
"86","Female",66,156,"Right","Some","Never"
"87","Female",64,169,"Right","Some","Never"
"88","Female",67,171,"Right","Freq","Never"
"89","Male",70,186,"Right","Freq","Never"
